disconnect_number,disconnect_timestamp_us,timestamp_us,timestamp_s,event,connection_handle,l2cap_cid,sequence,write_index,read_index,ring_fill,audio_busy,duration_us,result,detail0,detail1,details,anomaly,anomaly_reasons
1,1225635697,1220637845,1220.637845,AUDIO_TIMER_LATE,0xffff,0x0000,,59702,59702,0,0,2159,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220640006,1220.640006,AUDIO_TIMER_LATE,0xffff,0x0000,,59702,59702,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220642167,1220.642167,AUDIO_TIMER_LATE,0xffff,0x0000,,59702,59702,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220644328,1220.644328,AUDIO_TIMER_LATE,0xffff,0x0000,,59702,59702,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220645799,1220.645799,AUDIO_SDU_GENERATED,0xffff,0x0000,54,59703,59702,1,0,20000,0,0,0,,False,
1,1225635697,1220646489,1220.646489,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59702,1,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220646498,1220.646498,AUDIO_BUSY_SET,0x0040,0x0041,54,59703,59703,0,1,0,2,0,0,busy_context=2,False,
1,1225635697,1220646501,1220.646501,AUDIO_CAN_SEND_NOW,0x0040,0x0041,54,59703,59703,0,1,2,0,0,0,,False,
1,1225635697,1220646774,1220.646774,AUDIO_PACKET_SENT,0x0040,0x0041,54,59703,59703,0,1,273,0,0,0,,False,
1,1225635697,1220646776,1220.646776,AUDIO_BUSY_CLEAR,0x0040,0x0041,54,59703,59703,0,0,279,3,0,0,busy_context=3,False,
1,1225635697,1220646780,1220.646780,AUDIO_L2CAP_SEND,0x0040,0x0041,54,59703,59703,0,1,0,0,161,0,sdu_size=161,False,
1,1225635697,1220646781,1220.646781,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,54,59703,59703,0,1,0,0,0,0,,False,
1,1225635697,1220649174,1220.649174,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59702,1,0,2685,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220651333,1220.651333,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59703,0,0,2159,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220653491,1220.653491,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59703,0,0,2157,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220655649,1220.655649,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59703,0,0,2159,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220657808,1220.657808,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59703,0,0,2159,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220659969,1220.659969,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59703,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220663290,1220.663290,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59703,0,0,2160,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220665451,1220.665451,AUDIO_TIMER_LATE,0xffff,0x0000,,59703,59703,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220665803,1220.665803,AUDIO_SDU_GENERATED,0xffff,0x0000,55,59704,59703,1,0,20004,0,0,0,,False,
1,1225635697,1220667613,1220.667613,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59703,1,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220667621,1220.667621,AUDIO_BUSY_SET,0x0040,0x0041,55,59704,59704,0,1,0,2,0,0,busy_context=2,False,
1,1225635697,1220667625,1220.667625,AUDIO_CAN_SEND_NOW,0x0040,0x0041,55,59704,59704,0,1,2,0,0,0,,False,
1,1225635697,1220667897,1220.667897,AUDIO_PACKET_SENT,0x0040,0x0041,55,59704,59704,0,1,272,0,0,0,,False,
1,1225635697,1220667900,1220.667900,AUDIO_BUSY_CLEAR,0x0040,0x0041,55,59704,59704,0,0,278,3,0,0,busy_context=3,False,
1,1225635697,1220667903,1220.667903,AUDIO_L2CAP_SEND,0x0040,0x0041,55,59704,59704,0,1,0,0,161,0,sdu_size=161,False,
1,1225635697,1220667904,1220.667904,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,55,59704,59704,0,1,0,0,0,0,,False,
1,1225635697,1220671369,1220.671369,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59704,0,0,2154,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220673527,1220.673527,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59704,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220675685,1220.675685,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59704,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220677843,1220.677843,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59704,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220680004,1220.680004,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59704,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220682165,1220.682165,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59704,0,0,2160,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220684326,1220.684326,AUDIO_TIMER_LATE,0xffff,0x0000,,59704,59704,0,0,2162,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220685800,1220.685800,AUDIO_SDU_GENERATED,0xffff,0x0000,56,59705,59704,1,0,19997,0,0,0,,False,
1,1225635697,1220686487,1220.686487,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59704,1,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220686495,1220.686495,AUDIO_BUSY_SET,0x0040,0x0041,56,59705,59705,0,1,0,2,0,0,busy_context=2,False,
1,1225635697,1220686499,1220.686499,AUDIO_CAN_SEND_NOW,0x0040,0x0041,56,59705,59705,0,1,2,0,0,0,,False,
1,1225635697,1220686772,1220.686772,AUDIO_PACKET_SENT,0x0040,0x0041,56,59705,59705,0,1,273,0,0,0,,False,
1,1225635697,1220686774,1220.686774,AUDIO_BUSY_CLEAR,0x0040,0x0041,56,59705,59705,0,0,279,3,0,0,busy_context=3,False,
1,1225635697,1220686777,1220.686777,AUDIO_L2CAP_SEND,0x0040,0x0041,56,59705,59705,0,1,0,0,161,0,sdu_size=161,False,
1,1225635697,1220686779,1220.686779,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,56,59705,59705,0,1,0,0,0,0,,False,
1,1225635697,1220689149,1220.689149,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59704,1,0,2661,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220691307,1220.691307,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59705,0,0,2159,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220693465,1220.693465,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59705,0,0,2157,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220695623,1220.695623,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59705,0,0,2159,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220697781,1220.697781,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59705,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220699942,1220.699942,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59705,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220703263,1220.703263,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59705,0,0,2160,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220705425,1220.705425,AUDIO_TIMER_LATE,0xffff,0x0000,,59705,59705,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220705798,1220.705798,AUDIO_SDU_GENERATED,0xffff,0x0000,57,59706,59705,1,0,19998,0,0,0,,False,
1,1225635697,1220707586,1220.707586,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59705,1,0,2162,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220707594,1220.707594,AUDIO_BUSY_SET,0x0040,0x0041,57,59706,59706,0,1,0,2,0,0,busy_context=2,False,
1,1225635697,1220707598,1220.707598,AUDIO_CAN_SEND_NOW,0x0040,0x0041,57,59706,59706,0,1,2,0,0,0,,False,
1,1225635697,1220707871,1220.707871,AUDIO_PACKET_SENT,0x0040,0x0041,57,59706,59706,0,1,273,0,0,0,,False,
1,1225635697,1220707873,1220.707873,AUDIO_BUSY_CLEAR,0x0040,0x0041,57,59706,59706,0,0,279,3,0,0,busy_context=3,False,
1,1225635697,1220707876,1220.707876,AUDIO_L2CAP_SEND,0x0040,0x0041,57,59706,59706,0,1,0,0,161,0,sdu_size=161,False,
1,1225635697,1220707878,1220.707878,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,57,59706,59706,0,1,0,0,0,0,,False,
1,1225635697,1220710030,1220.710030,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59705,1,0,2444,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220712188,1220.712188,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59706,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220714346,1220.714346,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59706,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220716504,1220.716504,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59706,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220718662,1220.718662,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59706,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220720823,1220.720823,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59706,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220722984,1220.722984,AUDIO_TIMER_LATE,0xffff,0x0000,,59706,59706,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220725800,1220.725800,AUDIO_SDU_GENERATED,0xffff,0x0000,58,59707,59706,1,0,20002,0,0,0,,False,
1,1225635697,1220726305,1220.726305,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59706,1,0,2160,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220726314,1220.726314,AUDIO_BUSY_SET,0x0040,0x0041,58,59707,59707,0,1,0,2,0,0,busy_context=2,False,
1,1225635697,1220726317,1220.726317,AUDIO_CAN_SEND_NOW,0x0040,0x0041,58,59707,59707,0,1,2,0,0,0,,False,
1,1225635697,1220726590,1220.726590,AUDIO_PACKET_SENT,0x0040,0x0041,58,59707,59707,0,1,273,0,0,0,,False,
1,1225635697,1220726592,1220.726592,AUDIO_BUSY_CLEAR,0x0040,0x0041,58,59707,59707,0,0,279,3,0,0,busy_context=3,False,
1,1225635697,1220726595,1220.726595,AUDIO_L2CAP_SEND,0x0040,0x0041,58,59707,59707,0,1,0,0,161,0,sdu_size=161,False,
1,1225635697,1220726597,1220.726597,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,58,59707,59707,0,1,0,0,0,0,,False,
1,1225635697,1220728408,1220.728408,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59706,1,0,2103,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220730588,1220.730588,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2180,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220732747,1220.732747,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2159,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220734905,1220.734905,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220737063,1220.737063,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2158,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220739224,1220.739224,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220741385,1220.741385,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220743546,1220.743546,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220745707,1220.745707,AUDIO_TIMER_LATE,0xffff,0x0000,,59707,59707,0,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
1,1225635697,1220745826,1220.745826,AUDIO_SDU_GENERATED,0xffff,0x0000,59,59708,59707,1,0,20026,0,0,0,,False,
1,1225635697,1220747868,1220.747868,AUDIO_TIMER_LATE,0xffff,0x0000,,59708,59707,1,0,2161,0,0,0,,True,audio_timer_interval_gt_2ms
