timestamp_us,timestamp_s,event,connection_handle,l2cap_cid,sequence,write_index,read_index,ring_fill,audio_busy,duration_us,result,detail0,detail1,details,anomaly,anomaly_reasons
40824913,40.824913,AUDIO_SDU_GENERATED,0xffff,0x0000,137,1674,1673,1,0,20001,0,0,0,,False,
40826842,40.826842,AUDIO_BUSY_SET,0x0040,0x0041,137,1674,1674,0,1,0,2,0,0,busy_context=2,False,
40826844,40.826844,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,137,1674,1674,0,1,0,0,0,0,,False,
40826847,40.826847,AUDIO_CAN_SEND_NOW,0x0040,0x0041,137,1674,1674,0,1,5,0,0,0,,False,
40827125,40.827125,AUDIO_PACKET_SENT,0x0040,0x0041,137,1674,1674,0,1,276,0,22,0,,False,
40827128,40.827128,AUDIO_BUSY_CLEAR,0x0040,0x0041,137,1674,1674,0,0,286,3,0,0,busy_context=3,False,
40827131,40.827131,AUDIO_L2CAP_SEND,0x0040,0x0041,137,1674,1674,0,0,0,0,161,0,sdu_size=161,False,
40844913,40.844913,AUDIO_SDU_GENERATED,0xffff,0x0000,138,1675,1674,1,0,20000,0,0,0,,False,
40846670,40.846670,AUDIO_BUSY_SET,0x0040,0x0041,138,1675,1675,0,1,0,2,0,0,busy_context=2,False,
40846672,40.846672,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,138,1675,1675,0,1,0,0,0,0,,False,
40846675,40.846675,AUDIO_CAN_SEND_NOW,0x0040,0x0041,138,1675,1675,0,1,6,0,0,0,,False,
40846954,40.846954,AUDIO_PACKET_SENT,0x0040,0x0041,138,1675,1675,0,1,276,0,22,0,,False,
40846957,40.846957,AUDIO_BUSY_CLEAR,0x0040,0x0041,138,1675,1675,0,0,287,3,0,0,busy_context=3,False,
40846960,40.846960,AUDIO_L2CAP_SEND,0x0040,0x0041,138,1675,1675,0,0,0,0,161,0,sdu_size=161,False,
40864914,40.864914,AUDIO_SDU_GENERATED,0xffff,0x0000,139,1676,1675,1,0,20001,0,0,0,,False,
40866617,40.866617,AUDIO_BUSY_SET,0x0040,0x0041,139,1676,1676,0,1,0,2,0,0,busy_context=2,False,
40866619,40.866619,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,139,1676,1676,0,1,0,0,0,0,,False,
40866623,40.866623,AUDIO_CAN_SEND_NOW,0x0040,0x0041,139,1676,1676,0,1,6,0,0,0,,False,
40866901,40.866901,AUDIO_PACKET_SENT,0x0040,0x0041,139,1676,1676,0,1,276,0,22,0,,False,
40866903,40.866903,AUDIO_BUSY_CLEAR,0x0040,0x0041,139,1676,1676,0,0,286,3,0,0,busy_context=3,False,
40866907,40.866907,AUDIO_L2CAP_SEND,0x0040,0x0041,139,1676,1676,0,0,0,0,161,0,sdu_size=161,False,
40884915,40.884915,AUDIO_SDU_GENERATED,0xffff,0x0000,140,1677,1676,1,0,20001,0,0,0,,False,
40886673,40.886673,AUDIO_BUSY_SET,0x0040,0x0041,140,1677,1677,0,1,0,2,0,0,busy_context=2,False,
40886674,40.886674,AUDIO_CAN_SEND_REQUESTED,0x0040,0x0041,140,1677,1677,0,1,0,0,0,0,,False,
