timestamp_us,timestamp_s,sdu_generated_count,l2cap_send_attempt_count,l2cap_send_success_count,l2cap_send_error_count,can_send_wait_last_us,can_send_wait_max_us,packet_sent_wait_max_us,audio_busy_current_duration_us,audio_busy_max_duration_us,ring_fill_current,ring_fill_min,ring_fill_max,ring_underrun_count,ring_overrun_count,sequence_generated,sequence_sent,sequence_skip_count,audio_timer_gap_max_us,audio_timer_late_count,usb_pcm_underrun_count,trace_dropped,hci_write_count,hci_write_error_count,hci_write_last_us,hci_write_max_us,cyw43_lock_wait_last_us,cyw43_lock_wait_max_us,cyw43_lock_hold_last_us,cyw43_lock_hold_max_us,btstack_run_loop_gap_last_us,btstack_run_loop_gap_max_us,hci_to_packet_sent_last_us,hci_to_packet_sent_max_us,rssi_sample_count,rssi_request_skipped_count,rssi_slot0_dbm,rssi_slot1_dbm,rssi_slot0_age_us,rssi_slot1_age_us,tx_stale_drop_count,tx_stale_drop_frames
43059463,43.059463,1785,1785,1785,0,5,6,313,0,323,0,0,1,0,0,248,248,0,74414,1,0,420,2889,0,244,281,0,3,61,830544,2166,74414,22,23,83,0,-85,-2147483648,260484,4294967295,0,0
43309463,43.309463,1798,1798,1798,0,6,6,313,0,323,0,0,1,0,0,5,5,0,74414,1,0,420,2910,0,138,281,0,3,60,830544,2759,74414,22,23,84,0,-78,-2147483648,8623,4294967295,0,0
43559464,43.559464,1810,1810,1810,0,6,6,313,0,323,0,0,1,0,0,17,17,0,74414,1,0,420,2928,0,139,281,1,3,60,830544,2168,74414,22,23,84,0,-78,-2147483648,258624,4294967295,0,0
43809464,43.809464,1823,1823,1823,0,6,6,313,0,323,0,0,1,0,0,30,30,0,74414,1,0,420,2948,0,245,281,1,3,60,830544,2459,74414,22,23,85,0,-81,-2147483648,6734,4294967295,0,0
44059466,44.059466,1835,1835,1835,0,6,6,313,0,323,0,0,1,0,0,42,42,0,74414,1,0,420,2966,0,244,281,1,3,60,830544,2167,74414,22,23,85,0,-81,-2147483648,256736,4294967295,0,0
44309468,44.309468,1848,1848,1848,0,6,6,313,0,323,0,0,1,0,0,55,55,0,74414,1,0,420,2987,0,138,281,1,3,60,830544,1918,74414,22,23,86,0,-82,-2147483648,5400,4294967295,0,0
44559470,44.559470,1860,1860,1860,0,6,6,313,0,323,0,0,1,0,0,67,67,0,74414,1,0,420,3005,0,138,281,1,3,60,830544,2167,74414,22,23,86,0,-82,-2147483648,255402,4294967295,0,0
44809471,44.809471,1873,1873,1873,0,5,6,313,0,323,0,0,1,0,0,80,80,0,74414,1,0,420,3025,0,244,281,1,3,60,830544,2459,74414,22,23,87,0,-80,-2147483648,4075,4294967295,0,0
45059473,45.059473,1885,1885,1885,0,6,6,313,0,323,0,0,1,0,0,92,92,0,74414,1,0,420,3043,0,244,281,1,3,60,830544,2167,74414,22,23,87,0,-80,-2147483648,254077,4294967295,0,0
45309473,45.309473,1898,1898,1898,0,6,6,313,0,323,0,0,1,0,0,105,105,0,74414,1,0,420,3063,0,138,281,1,3,60,830544,1458,74414,22,23,87,0,-80,-2147483648,504077,4294967295,0,0
45559474,45.559474,1910,1910,1910,0,6,6,313,0,323,0,0,1,0,0,117,117,0,74414,1,0,420,3082,0,138,281,1,3,60,830544,2167,74414,22,23,88,0,-82,-2147483648,243199,4294967295,0,0
